gigas_ppm,accel_g,duration_sec,label
128.58,0.99,0,normal
151.95,0.99,0,normal
165.66,3.36,4,warning_fall
152.58,0.96,0,normal
117.75,0.98,0,normal
156.54,0.97,0,normal
620.09,3.49,7,critical
127.87,1.02,0,normal
134.06,0.96,0,normal
162.66,1.02,0,normal
141.46,1.04,0,normal
150.26,0.98,0,normal
152.13,1.0,0,normal
142.57,0.95,0,normal
154.96,0.96,0,normal
142.96,4.61,5,warning_fall
186.63,1.0,0,normal
133.59,1.05,0,normal
185.31,1.0,0,normal
129.76,1.0,0,normal
101.94,4.55,2,warning_fall
171.83,0.97,0,normal
134.65,0.99,0,normal
119.32,1.03,0,normal
97.61,1.02,0,normal
199.26,1.01,0,normal
141.11,1.01,0,normal
979.08,3.64,11,critical
132.03,1.0,0,normal
146.77,0.99,0,normal
146.15,1.03,0,normal
152.31,1.0,0,normal
113.9,1.0,0,normal
129.3,1.07,0,normal
160.29,1.06,0,normal
135.96,1.01,0,normal
135.83,2.85,1,warning_fall
160.27,0.95,0,normal
133.49,0.96,0,normal
649.17,4.27,11,critical
112.84,3.89,2,warning_fall
105.82,4.25,3,warning_fall
187.54,0.97,0,normal
156.67,1.03,0,normal
148.89,1.02,0,normal
142.16,0.97,0,normal
140.69,1.0,0,normal
115.74,1.0,0,normal
125.78,1.08,0,normal
143.98,1.0,0,normal
147.69,0.98,0,normal
162.57,0.97,0,normal
187.94,1.01,0,normal
146.19,1.02,0,normal
192.1,3.84,5,warning_fall
130.42,0.99,0,normal
497.59,1.01,6,warning_gas
121.69,1.03,0,normal
130.7,1.01,0,normal
144.71,1.0,0,normal
123.91,0.99,0,normal
181.02,1.07,0,normal
113.8,4.34,3,warning_fall
130.69,2.88,1,warning_fall
164.43,1.02,0,normal
179.07,1.01,0,normal
140.62,1.0,0,normal
146.11,2.87,1,warning_fall
831.09,0.95,6,warning_gas
923.29,4.5,7,critical
125.56,1.02,0,normal
139.48,1.06,0,normal
762.84,3.57,8,critical
653.3,0.98,3,warning_gas
135.85,1.01,0,normal
170.13,1.02,0,normal
147.06,1.05,0,normal
138.75,1.03,0,normal
129.88,1.05,0,normal
941.57,0.95,7,warning_gas
163.73,1.0,0,normal
204.4,1.04,0,normal
856.19,4.93,4,critical
151.35,0.96,0,normal
149.63,1.0,0,normal
144.9,1.0,0,normal
140.66,4.0,4,warning_fall
133.56,1.05,0,normal
109.22,1.01,0,normal
146.89,1.03,0,normal
442.38,1.01,4,warning_gas
171.08,1.04,0,normal
116.15,1.05,0,normal
143.45,0.96,0,normal
157.89,0.98,0,normal
157.23,0.98,0,normal
187.64,1.0,0,normal
192.66,1.0,0,normal
448.73,0.94,8,warning_gas
180.05,0.99,0,normal
154.65,1.04,0,normal
166.44,0.95,0,normal
470.45,1.02,4,warning_gas
157.33,0.97,0,normal
133.06,1.02,0,normal
121.28,0.98,0,normal
109.5,0.97,0,normal
128.37,0.99,0,normal
126.63,1.03,0,normal
115.32,3.78,1,warning_fall
145.22,0.98,0,normal
708.82,1.01,1,warning_gas
140.45,1.07,0,normal
130.19,1.05,0,normal
149.31,1.01,0,normal
177.34,1.0,0,normal
162.32,1.0,0,normal
143.82,1.01,0,normal
150.72,4.09,1,warning_fall
132.28,2.55,1,warning_fall
134.54,1.01,0,normal
141.2,1.0,0,normal
140.79,1.01,0,normal
145.73,1.04,0,normal
157.71,1.02,0,normal
921.58,3.21,11,critical
432.2,1.01,6,warning_gas
641.67,0.99,8,warning_gas
129.51,1.02,0,normal
148.22,1.0,0,normal
134.44,0.99,0,normal
149.58,1.02,0,normal
154.87,0.99,0,normal
630.74,4.41,5,critical
155.94,0.98,0,normal
161.74,0.99,0,normal
840.04,0.99,8,warning_gas
156.48,0.97,0,normal
146.8,1.01,0,normal
139.15,3.39,5,warning_fall
117.85,0.97,0,normal
144.5,1.02,0,normal
174.76,1.01,0,normal
139.78,0.94,0,normal
151.94,1.02,0,normal
121.75,1.0,0,normal
797.14,1.04,6,warning_gas
738.79,1.01,4,warning_gas
646.74,0.99,7,warning_gas
147.15,0.97,0,normal
142.31,0.98,0,normal
134.19,1.0,0,normal
123.44,1.05,0,normal
166.54,1.05,0,normal
143.31,0.97,0,normal
772.06,0.99,7,warning_gas
180.08,0.97,0,normal
827.05,1.01,1,warning_gas
164.69,3.78,3,warning_fall
155.86,1.04,0,normal
161.77,1.03,0,normal
167.39,0.99,0,normal
142.97,1.04,0,normal
755.2,0.98,4,warning_gas
156.28,1.0,0,normal
138.67,0.98,0,normal
133.64,1.0,0,normal
140.32,1.03,0,normal
149.52,1.01,0,normal
809.03,3.09,10,critical
141.07,1.02,0,normal
156.03,0.96,0,normal
152.19,0.97,0,normal
134.52,1.0,0,normal
162.51,1.08,0,normal
138.8,1.03,0,normal
915.56,1.03,5,warning_gas
743.56,1.0,7,warning_gas
561.05,1.05,4,warning_gas
164.26,1.01,0,normal
962.44,4.78,7,critical
130.45,1.01,0,normal
991.59,3.18,4,critical
135.6,0.98,0,normal
146.39,2.57,4,warning_fall
159.48,1.01,0,normal
165.58,2.53,5,warning_fall
133.68,0.98,0,normal
129.74,1.0,0,normal
149.0,0.98,0,normal
156.87,0.98,0,normal
629.16,4.48,4,critical
174.53,3.29,4,warning_fall
165.11,1.04,0,normal
635.44,3.29,7,critical
147.44,1.01,0,normal
125.24,1.0,0,normal
754.15,1.02,8,warning_gas
127.74,3.35,1,warning_fall
171.78,0.95,0,normal
126.98,1.0,0,normal
631.06,3.54,5,critical
122.4,0.96,0,normal
845.44,4.04,6,critical
163.8,0.99,0,normal
163.59,1.0,0,normal
110.81,1.03,0,normal
719.83,3.55,11,critical
193.06,1.03,0,normal
138.48,1.03,0,normal
800.25,3.13,11,critical
117.87,2.83,3,warning_fall
763.17,0.99,6,warning_gas
481.1,1.03,1,warning_gas
153.46,1.04,0,normal
158.57,3.62,4,warning_fall
156.95,3.49,5,warning_fall
161.26,1.02,0,normal
882.83,3.01,6,critical
548.4,1.04,4,warning_gas
172.88,0.99,0,normal
917.81,4.68,9,critical
173.17,1.05,0,normal
157.55,2.59,1,warning_fall
136.4,0.98,0,normal
602.37,1.03,1,warning_gas
849.91,4.33,10,critical
760.89,0.96,7,warning_gas
149.47,0.99,0,normal
151.29,0.98,0,normal
164.22,1.0,0,normal
133.95,0.99,0,normal
185.11,1.04,0,normal
151.35,1.03,0,normal
815.27,0.95,7,warning_gas
140.81,0.94,0,normal
405.13,1.0,3,warning_gas
143.15,0.96,0,normal
165.04,1.03,0,normal
162.23,1.03,0,normal
156.93,0.98,0,normal
150.94,1.0,0,normal
165.18,3.84,5,warning_fall
160.28,1.02,0,normal
153.96,0.96,0,normal
638.71,1.0,1,warning_gas
472.45,1.01,5,warning_gas
140.61,0.94,0,normal
602.57,1.03,6,warning_gas
154.18,1.01,0,normal
130.29,0.98,0,normal
172.53,0.95,0,normal
170.65,1.04,0,normal
162.21,0.98,0,normal
873.75,1.02,8,warning_gas
183.53,1.02,0,normal
176.91,1.01,0,normal
910.45,1.0,8,warning_gas
152.14,3.28,3,warning_fall
85.17,1.01,0,normal
163.09,1.0,0,normal
156.15,1.02,0,normal
156.65,1.0,0,normal
155.01,0.98,0,normal
705.3,1.0,6,warning_gas
143.28,1.0,0,normal
162.22,3.99,2,warning_fall
151.73,1.01,0,normal
158.48,3.3,4,warning_fall
183.74,1.02,0,normal
123.59,1.07,0,normal
125.26,1.01,0,normal
423.07,0.96,6,warning_gas
156.86,3.77,3,warning_fall
532.38,0.98,7,warning_gas
147.11,1.01,0,normal
135.63,1.04,0,normal
154.28,0.95,0,normal
125.72,1.01,0,normal
159.46,1.02,0,normal
121.96,0.99,0,normal
132.72,3.18,3,warning_fall
114.43,1.03,0,normal
153.69,1.01,0,normal
739.53,4.26,11,critical
153.07,1.0,0,normal
179.92,1.01,0,normal
142.29,1.02,0,normal
166.99,0.98,0,normal
118.11,1.03,0,normal
178.06,1.07,0,normal
159.65,1.03,0,normal
171.66,1.0,0,normal
115.93,1.02,0,normal
140.5,0.95,0,normal
135.03,1.01,0,normal
133.35,3.75,1,warning_fall
517.43,1.0,4,warning_gas
159.6,4.72,5,warning_fall
583.83,0.99,8,warning_gas
152.87,2.86,4,warning_fall
139.93,0.99,0,normal
151.47,0.99,0,normal
150.1,1.06,0,normal
454.55,0.98,3,warning_gas
724.69,0.98,7,warning_gas
637.64,0.98,3,warning_gas
155.37,4.24,1,warning_fall
151.64,1.01,0,normal
183.38,1.0,0,normal
106.76,3.17,3,warning_fall
863.1,1.02,4,warning_gas
947.98,1.06,2,warning_gas
136.94,3.22,5,warning_fall
181.86,1.0,0,normal
167.72,3.49,3,warning_fall
423.75,0.98,3,warning_gas
156.84,1.03,0,normal
761.15,3.63,7,critical
133.38,1.05,0,normal
121.4,1.05,0,normal
451.14,1.01,4,warning_gas
149.35,1.04,0,normal
129.26,1.0,0,normal
151.2,1.04,0,normal
173.19,0.98,0,normal
150.91,0.96,0,normal
203.75,3.53,2,warning_fall
125.11,1.0,0,normal
108.53,1.05,0,normal
169.19,0.96,0,normal
790.57,4.82,5,critical
580.51,1.04,6,warning_gas
136.97,0.93,0,normal
620.82,0.98,2,warning_gas
127.79,0.98,0,normal
143.79,0.99,0,normal
145.38,0.96,0,normal
164.23,0.99,0,normal
159.04,3.0,1,warning_fall
932.32,1.05,2,warning_gas
156.45,1.02,0,normal
158.88,1.02,0,normal
557.25,0.93,4,warning_gas
147.48,1.0,0,normal
146.84,0.99,0,normal
181.72,0.97,0,normal
167.45,0.95,0,normal
134.82,1.01,0,normal
140.56,1.04,0,normal
795.05,4.55,8,critical
782.59,0.98,3,warning_gas
119.7,1.0,0,normal
121.85,0.95,0,normal
140.26,1.0,0,normal
124.1,1.01,0,normal
859.13,3.78,9,critical
152.9,3.28,4,warning_fall
138.45,3.66,4,warning_fall
154.48,0.99,0,normal
167.98,3.83,2,warning_fall
481.89,0.96,8,warning_gas
144.55,0.96,0,normal
729.02,1.04,8,warning_gas
140.25,1.05,0,normal
626.4,3.27,9,critical
165.42,1.01,0,normal
402.88,1.0,3,warning_gas
139.96,1.03,0,normal
160.1,1.02,0,normal
168.48,1.04,0,normal
163.13,1.02,0,normal
134.73,0.99,0,normal
125.58,1.01,0,normal
166.71,0.99,0,normal
132.21,0.99,0,normal
201.47,0.98,0,normal
195.82,3.96,4,warning_fall
154.29,2.78,2,warning_fall
804.61,1.0,4,warning_gas
154.13,3.3,5,warning_fall
523.54,0.99,2,warning_gas
120.73,1.03,0,normal
143.48,0.97,0,normal
134.15,0.96,0,normal
887.81,1.0,1,warning_gas
166.59,1.04,0,normal
142.78,1.01,0,normal
189.29,0.93,0,normal
155.09,1.01,0,normal
179.58,2.56,4,warning_fall
160.3,0.96,0,normal
123.6,1.02,0,normal
704.82,1.03,3,warning_gas
177.08,0.94,0,normal
678.22,1.01,6,warning_gas
949.09,0.97,1,warning_gas
145.26,1.01,0,normal
145.32,0.95,0,normal
803.04,1.01,4,warning_gas
144.81,1.01,0,normal
137.7,3.75,2,warning_fall
155.6,1.04,0,normal
918.69,1.03,4,warning_gas
161.54,1.0,0,normal
731.03,0.99,6,warning_gas
159.79,0.98,0,normal
150.1,1.0,0,normal
568.08,1.03,8,warning_gas
811.44,1.01,3,warning_gas
145.62,0.99,0,normal
128.65,1.02,0,normal
122.03,1.0,0,normal
171.14,0.98,0,normal
149.73,1.01,0,normal
653.86,1.06,6,warning_gas
684.5,1.04,4,warning_gas
157.16,1.01,0,normal
131.61,1.0,0,normal
157.51,1.01,0,normal
129.71,4.08,2,warning_fall
135.39,0.98,0,normal
167.63,0.97,0,normal
563.65,0.97,3,warning_gas
193.8,1.05,0,normal
155.62,0.99,0,normal
173.59,1.01,0,normal
121.85,1.04,0,normal
159.84,1.0,0,normal
159.58,1.0,0,normal
132.49,1.01,0,normal
166.27,1.03,0,normal
127.87,1.08,0,normal
103.96,1.01,0,normal
148.91,1.03,0,normal
151.99,0.99,0,normal
921.39,4.69,5,critical
116.61,0.96,0,normal
833.74,1.01,5,warning_gas
628.93,3.0,4,critical
166.25,1.03,0,normal
615.34,1.01,3,warning_gas
115.5,1.0,0,normal
187.32,0.98,0,normal
164.77,0.94,0,normal
151.55,0.98,0,normal
133.83,1.03,0,normal
148.54,0.99,0,normal
799.29,1.03,5,warning_gas
134.54,1.02,0,normal
503.41,0.99,5,warning_gas
136.46,0.97,0,normal
174.44,3.88,4,warning_fall
143.57,0.96,0,normal
905.41,1.0,7,warning_gas
691.67,0.98,8,warning_gas
938.98,1.05,3,warning_gas
136.14,0.99,0,normal
501.86,1.06,4,warning_gas
168.36,1.01,0,normal
720.33,0.98,7,warning_gas
150.71,1.07,0,normal
134.14,1.03,0,normal
696.77,4.9,5,critical
401.77,1.03,3,warning_gas
135.32,4.44,5,warning_fall
152.61,0.96,0,normal
161.22,0.99,0,normal
165.74,0.95,0,normal
141.76,0.96,0,normal
761.06,1.01,1,warning_gas
138.01,0.91,0,normal
495.76,1.04,8,warning_gas
161.53,0.95,0,normal
664.54,0.97,5,warning_gas
679.6,1.0,1,warning_gas
158.08,0.99,0,normal
141.84,0.96,0,normal
138.46,0.99,0,normal
147.23,1.03,0,normal
140.18,3.1,1,warning_fall
690.41,3.75,11,critical
191.51,1.0,0,normal
145.61,1.01,0,normal
131.24,1.0,0,normal
166.45,1.03,0,normal
880.33,1.03,7,warning_gas
150.97,0.96,0,normal
163.72,0.98,0,normal
139.39,1.05,0,normal
154.48,0.96,0,normal
169.37,1.01,0,normal
138.73,1.03,0,normal
108.64,3.34,2,warning_fall
174.02,1.01,0,normal
154.64,1.03,0,normal
749.96,0.93,2,warning_gas
147.71,1.03,0,normal
111.73,1.01,0,normal
150.42,1.01,0,normal
165.14,0.98,0,normal
187.52,1.01,0,normal
150.2,0.98,0,normal
166.44,1.01,0,normal
642.11,0.97,8,warning_gas
834.35,4.43,8,critical
96.06,0.92,0,normal
836.81,0.97,1,warning_gas
134.87,0.97,0,normal
728.6,3.87,10,critical
136.99,1.0,0,normal
853.78,1.08,3,warning_gas
167.32,1.0,0,normal
109.24,1.0,0,normal
154.6,3.23,4,warning_fall
167.42,1.02,0,normal
145.19,1.04,0,normal
119.7,1.03,0,normal
799.55,0.99,7,warning_gas
146.3,0.98,0,normal
145.02,0.99,0,normal
127.42,0.99,0,normal
155.41,0.96,0,normal
156.63,0.97,0,normal
182.9,0.98,0,normal
155.8,1.02,0,normal
168.05,2.6,1,warning_fall
865.58,0.99,7,warning_gas
192.44,0.96,0,normal
145.48,0.95,0,normal
166.27,0.98,0,normal
126.04,0.99,0,normal
130.51,1.01,0,normal
153.98,0.99,0,normal
763.02,3.99,4,critical
167.13,1.02,0,normal
153.01,1.01,0,normal
882.16,0.98,6,warning_gas
175.55,1.01,0,normal
179.6,0.96,0,normal
139.86,1.0,0,normal
698.23,0.99,1,warning_gas
160.94,1.03,0,normal
139.06,1.02,0,normal
118.99,0.96,0,normal
139.13,0.97,0,normal
136.24,4.39,5,warning_fall
145.31,1.0,0,normal
179.02,1.0,0,normal
156.58,1.01,0,normal
138.93,1.03,0,normal
149.76,0.99,0,normal
143.69,1.0,0,normal
162.28,1.04,0,normal
131.81,1.04,0,normal
198.92,1.0,0,normal
179.31,1.01,0,normal
763.75,0.97,5,warning_gas
180.76,0.98,0,normal
187.72,1.01,0,normal
178.83,1.0,0,normal
151.66,4.18,5,warning_fall
151.48,1.03,0,normal
143.15,1.0,0,normal
