gas_ppm,accel_g,duration_sec,label,risk_score,risk_level
122.45,1.01,0,normal,0.1,LOW
138.46,0.99,0,normal,0.1,LOW
511.36,0.98,3,warning_gas,23.21,LOW
175.55,1.03,0,normal,1.5,LOW
148.51,0.97,0,normal,0.3,LOW
126.33,1.01,0,normal,0.1,LOW
144.02,0.99,0,normal,0.1,LOW
133.83,1.02,0,normal,0.2,LOW
146.96,1.05,0,normal,0.5,LOW
179.56,1.01,0,normal,1.49,LOW
779.74,3.33,7,critical,66.93,MEDIUM
803.19,1.05,6,warning_gas,43.24,MEDIUM
141.21,3.22,3,warning_fall,28.2,LOW
147.71,1.03,0,normal,0.3,LOW
191.85,1.06,0,normal,2.57,LOW
165.03,1.06,0,normal,1.31,LOW
149.63,4.57,3,warning_fall,41.7,MEDIUM
166.63,4.4,5,warning_fall,44.78,MEDIUM
145.32,1.02,0,normal,0.2,LOW
586.05,1.04,5,warning_gas,30.92,MEDIUM
145.58,1.07,0,normal,0.7,LOW
155.22,1.02,0,normal,0.45,LOW
182.65,0.98,0,normal,1.74,LOW
144.23,1.04,0,normal,0.4,LOW
163.07,4.31,5,warning_fall,43.72,MEDIUM
810.15,1.01,6,warning_gas,43.17,MEDIUM
133.21,0.99,0,normal,0.1,LOW
180.59,1.04,0,normal,1.84,LOW
138.01,0.99,0,normal,0.1,LOW
149.84,1.0,0,normal,0.0,LOW
172.86,1.0,0,normal,1.08,LOW
132.11,3.54,5,warning_fall,35.4,MEDIUM
124.78,0.99,0,normal,0.1,LOW
161.41,1.01,0,normal,0.64,LOW
160.85,1.05,0,normal,1.01,LOW
132.32,0.99,0,normal,0.1,LOW
177.11,0.98,0,normal,1.48,LOW
157.14,0.96,0,normal,0.74,LOW
945.5,1.04,3,warning_gas,43.84,MEDIUM
133.0,1.02,0,normal,0.2,LOW
419.42,1.1,7,warning_gas,27.68,LOW
167.05,0.98,0,normal,1.0,LOW
145.84,1.01,0,normal,0.1,LOW
172.71,1.01,0,normal,1.17,LOW
826.05,0.95,7,warning_gas,46.31,MEDIUM
133.46,0.99,0,normal,0.1,LOW
128.82,0.97,0,normal,0.3,LOW
128.45,1.01,0,normal,0.1,LOW
938.37,4.11,6,critical,80.2,CRITICAL
157.63,2.82,5,warning_fall,28.56,LOW
818.54,0.99,6,warning_gas,43.56,MEDIUM
188.19,0.99,0,normal,1.9,LOW
147.75,1.03,0,normal,0.3,LOW
147.82,1.03,0,normal,0.3,LOW
139.39,1.02,0,normal,0.2,LOW
143.86,3.51,2,warning_fall,29.1,LOW
171.17,1.0,0,normal,1.0,LOW
165.35,1.05,0,normal,1.22,LOW
135.71,0.98,0,normal,0.2,LOW
127.41,0.99,0,normal,0.1,LOW
157.68,0.99,0,normal,0.46,LOW
117.87,1.03,0,normal,0.3,LOW
145.02,1.02,0,normal,0.2,LOW
488.04,1.02,1,warning_gas,18.11,LOW
135.1,3.62,1,warning_fall,28.2,LOW
169.5,0.99,0,normal,1.02,LOW
154.71,1.07,0,normal,0.92,LOW
132.24,4.42,3,warning_fall,40.2,MEDIUM
129.84,0.97,0,normal,0.3,LOW
170.75,1.0,0,normal,0.98,LOW
162.77,0.98,0,normal,0.8,LOW
141.69,1.0,0,normal,0.0,LOW
411.52,1.03,3,warning_gas,18.61,LOW
139.72,1.05,0,normal,0.5,LOW
160.08,0.96,0,normal,0.87,LOW
135.69,1.05,0,normal,0.5,LOW
167.15,1.01,0,normal,0.91,LOW
846.47,0.97,3,warning_gas,39.08,MEDIUM
169.08,1.01,0,normal,1.0,LOW
110.25,1.02,0,normal,0.2,LOW
160.44,0.98,0,normal,0.69,LOW
164.95,1.0,0,normal,0.7,LOW
151.11,0.96,0,normal,0.45,LOW
818.62,0.97,3,warning_gas,37.76,MEDIUM
138.15,0.98,0,normal,0.2,LOW
154.9,1.03,0,normal,0.53,LOW
121.55,1.03,0,normal,0.3,LOW
823.07,0.97,3,warning_gas,37.97,MEDIUM
159.47,0.98,0,normal,0.65,LOW
454.12,1.02,2,warning_gas,18.51,LOW
171.98,1.01,0,normal,1.13,LOW
839.29,1.0,5,warning_gas,42.44,MEDIUM
171.88,1.02,0,normal,1.23,LOW
159.93,0.98,0,normal,0.67,LOW
163.64,0.98,0,normal,0.84,LOW
545.78,0.99,5,warning_gas,28.72,LOW
145.94,0.98,0,normal,0.2,LOW
179.48,4.47,4,warning_fall,44.09,MEDIUM
148.68,1.0,0,normal,0.0,LOW
156.23,1.0,0,normal,0.29,LOW
141.0,1.03,0,normal,0.3,LOW
148.46,0.96,0,normal,0.4,LOW
193.81,1.04,0,normal,2.46,LOW
173.59,1.02,0,normal,1.31,LOW
191.21,1.03,0,normal,2.24,LOW
173.36,0.94,0,normal,1.7,LOW
150.14,3.62,4,warning_fall,34.21,MEDIUM
151.94,1.01,0,normal,0.19,LOW
146.63,2.63,1,warning_fall,18.3,LOW
132.86,0.98,0,normal,0.2,LOW
130.37,0.99,0,normal,0.1,LOW
105.84,4.06,1,warning_fall,32.6,MEDIUM
137.1,1.05,0,normal,0.5,LOW
140.14,0.94,0,normal,0.6,LOW
151.37,0.97,0,normal,0.36,LOW
133.42,1.04,0,normal,0.4,LOW
162.91,1.05,0,normal,1.11,LOW
173.16,1.0,0,normal,1.09,LOW
155.2,1.0,0,normal,0.24,LOW
169.43,0.97,0,normal,1.21,LOW
156.77,1.0,0,normal,0.32,LOW
181.0,1.01,0,normal,1.56,LOW
148.75,0.97,0,normal,0.3,LOW
169.27,0.98,0,normal,1.11,LOW
137.99,0.98,0,normal,0.2,LOW
710.76,0.91,4,warning_gas,35.29,MEDIUM
125.09,1.04,0,normal,0.4,LOW
169.01,0.99,0,normal,0.99,LOW
171.0,3.47,1,warning_fall,27.69,LOW
134.93,1.06,0,normal,0.6,LOW
820.4,0.97,1,warning_gas,33.85,MEDIUM
154.55,1.0,0,normal,0.21,LOW
156.82,0.98,0,normal,0.52,LOW
181.58,0.96,0,normal,1.89,LOW
848.77,1.03,1,warning_gas,35.18,MEDIUM
211.58,0.97,0,normal,3.2,LOW
181.29,1.03,0,normal,1.77,LOW
134.42,3.39,5,warning_fall,33.9,MEDIUM
626.94,0.97,6,warning_gas,34.74,MEDIUM
136.76,1.01,0,normal,0.1,LOW
165.64,1.01,0,normal,0.84,LOW
595.46,0.99,8,warning_gas,37.06,MEDIUM
192.88,1.01,0,normal,2.12,LOW
196.29,1.03,0,normal,2.48,LOW
146.37,4.76,3,warning_fall,43.6,MEDIUM
168.52,1.0,0,normal,0.87,LOW
128.75,0.97,0,normal,0.3,LOW
801.23,3.01,4,critical,58.75,MEDIUM
778.89,1.01,5,warning_gas,39.69,MEDIUM
164.28,1.06,0,normal,1.27,LOW
153.43,0.96,0,normal,0.56,LOW
156.52,0.96,0,normal,0.71,LOW
155.15,1.04,0,normal,0.64,LOW
166.61,0.97,0,normal,1.08,LOW
133.22,1.01,0,normal,0.1,LOW
162.46,0.97,0,normal,0.89,LOW
108.65,1.0,0,normal,0.0,LOW
699.76,1.0,7,warning_gas,39.87,MEDIUM
885.58,4.41,4,critical,76.72,CRITICAL
139.11,1.01,0,normal,0.1,LOW
165.15,1.02,0,normal,0.91,LOW
138.46,1.05,0,normal,0.5,LOW
116.77,0.96,0,normal,0.4,LOW
159.62,0.98,0,normal,0.65,LOW
161.86,0.99,0,normal,0.66,LOW
168.42,3.4,2,warning_fall,28.87,LOW
158.26,1.01,0,normal,0.49,LOW
142.3,0.96,0,normal,0.4,LOW
132.72,0.98,0,normal,0.2,LOW
160.02,0.98,0,normal,0.67,LOW
122.45,4.54,5,warning_fall,45.4,MEDIUM
535.67,0.98,3,warning_gas,24.35,LOW
144.95,1.0,0,normal,0.0,LOW
595.52,0.99,3,warning_gas,27.07,LOW
562.49,0.99,1,warning_gas,21.51,LOW
139.51,1.06,0,normal,0.6,LOW
674.04,1.02,7,warning_gas,38.86,MEDIUM
151.99,0.97,0,normal,0.39,LOW
131.2,0.96,0,normal,0.4,LOW
131.84,0.99,0,normal,0.1,LOW
466.76,1.0,3,warning_gas,20.91,LOW
154.07,0.95,0,normal,0.69,LOW
112.58,0.98,0,normal,0.2,LOW
164.35,1.01,0,normal,0.78,LOW
150.25,1.03,0,normal,0.31,LOW
139.63,1.02,0,normal,0.2,LOW
146.29,1.0,0,normal,0.0,LOW
124.2,0.99,0,normal,0.1,LOW
173.26,1.03,0,normal,1.39,LOW
110.96,0.97,0,normal,0.3,LOW
160.39,1.02,0,normal,0.69,LOW
149.62,0.98,0,normal,0.2,LOW
147.86,0.98,0,normal,0.2,LOW
151.4,0.95,0,normal,0.57,LOW
154.84,0.98,0,normal,0.43,LOW
128.58,0.99,0,normal,0.1,LOW
151.95,0.99,0,normal,0.19,LOW
165.66,3.36,4,warning_fall,32.34,MEDIUM
152.58,0.96,0,normal,0.52,LOW
117.75,0.98,0,normal,0.2,LOW
156.54,0.97,0,normal,0.61,LOW
620.09,3.49,7,critical,61.02,MEDIUM
127.87,1.02,0,normal,0.2,LOW
134.06,0.96,0,normal,0.4,LOW
162.66,1.02,0,normal,0.8,LOW
141.46,1.04,0,normal,0.4,LOW
150.26,0.98,0,normal,0.21,LOW
152.13,1.0,0,normal,0.1,LOW
142.57,0.95,0,normal,0.5,LOW
154.96,0.96,0,normal,0.63,LOW
142.96,4.61,5,warning_fall,46.1,MEDIUM
186.63,1.0,0,normal,1.72,LOW
133.59,1.05,0,normal,0.5,LOW
185.31,1.0,0,normal,1.66,LOW
129.76,1.0,0,normal,0.0,LOW
101.94,4.55,2,warning_fall,39.5,MEDIUM
171.83,0.97,0,normal,1.33,LOW
134.65,0.99,0,normal,0.1,LOW
119.32,1.03,0,normal,0.3,LOW
97.61,1.02,0,normal,0.2,LOW
199.26,1.01,0,normal,2.42,LOW
141.11,1.01,0,normal,0.1,LOW
979.08,3.64,11,critical,85.42,CRITICAL
132.03,1.0,0,normal,0.0,LOW
146.77,0.99,0,normal,0.1,LOW
146.15,1.03,0,normal,0.3,LOW
152.31,1.0,0,normal,0.11,LOW
113.9,1.0,0,normal,0.0,LOW
129.3,1.07,0,normal,0.7,LOW
160.29,1.06,0,normal,1.08,LOW
135.96,1.01,0,normal,0.1,LOW
135.83,2.85,1,warning_fall,20.5,LOW
160.27,0.95,0,normal,0.98,LOW
133.49,0.96,0,normal,0.4,LOW
649.17,4.27,11,critical,76.19,CRITICAL
112.84,3.89,2,warning_fall,32.9,MEDIUM
105.82,4.25,3,warning_fall,38.5,MEDIUM
187.54,0.97,0,normal,2.07,LOW
156.67,1.03,0,normal,0.61,LOW
148.89,1.02,0,normal,0.2,LOW
142.16,0.97,0,normal,0.3,LOW
140.69,1.0,0,normal,0.0,LOW
115.74,1.0,0,normal,0.0,LOW
125.78,1.08,0,normal,0.8,LOW
143.98,1.0,0,normal,0.0,LOW
147.69,0.98,0,normal,0.2,LOW
162.57,0.97,0,normal,0.89,LOW
187.94,1.01,0,normal,1.89,LOW
146.19,1.02,0,normal,0.2,LOW
192.1,3.84,5,warning_fall,40.38,MEDIUM
130.42,0.99,0,normal,0.1,LOW
497.59,1.01,6,warning_gas,28.46,LOW
121.69,1.03,0,normal,0.3,LOW
130.7,1.01,0,normal,0.1,LOW
144.71,1.0,0,normal,0.0,LOW
123.91,0.99,0,normal,0.1,LOW
181.02,1.07,0,normal,2.16,LOW
113.8,4.34,3,warning_fall,39.4,MEDIUM
130.69,2.88,1,warning_fall,20.8,LOW
164.43,1.02,0,normal,0.88,LOW
179.07,1.01,0,normal,1.47,LOW
140.62,1.0,0,normal,0.0,LOW
146.11,2.87,1,warning_fall,20.7,LOW
831.09,0.95,6,warning_gas,44.55,MEDIUM
923.29,4.5,7,critical,85.39,CRITICAL
125.56,1.02,0,normal,0.2,LOW
139.48,1.06,0,normal,0.6,LOW
762.84,3.57,8,critical,70.54,CRITICAL
653.3,0.98,3,warning_gas,29.88,LOW
135.85,1.01,0,normal,0.1,LOW
170.13,1.02,0,normal,1.15,LOW
147.06,1.05,0,normal,0.5,LOW
138.75,1.03,0,normal,0.3,LOW
129.88,1.05,0,normal,0.5,LOW
941.57,0.95,7,warning_gas,51.75,MEDIUM
163.73,1.0,0,normal,0.65,LOW
204.4,1.04,0,normal,2.96,LOW
856.19,4.93,4,critical,80.53,CRITICAL
151.35,0.96,0,normal,0.46,LOW
149.63,1.0,0,normal,0.0,LOW
144.9,1.0,0,normal,0.0,LOW
140.66,4.0,4,warning_fall,38.0,MEDIUM
133.56,1.05,0,normal,0.5,LOW
109.22,1.01,0,normal,0.1,LOW
146.89,1.03,0,normal,0.3,LOW
442.38,1.01,4,warning_gas,21.86,LOW
171.08,1.04,0,normal,1.39,LOW
116.15,1.05,0,normal,0.5,LOW
143.45,0.96,0,normal,0.4,LOW
157.89,0.98,0,normal,0.57,LOW
157.23,0.98,0,normal,0.54,LOW
187.64,1.0,0,normal,1.77,LOW
192.66,1.0,0,normal,2.01,LOW
448.73,0.94,8,warning_gas,30.66,MEDIUM
180.05,0.99,0,normal,1.51,LOW
154.65,1.04,0,normal,0.62,LOW
166.44,0.95,0,normal,1.27,LOW
470.45,1.02,4,warning_gas,23.28,LOW
157.33,0.97,0,normal,0.64,LOW
133.06,1.02,0,normal,0.2,LOW
121.28,0.98,0,normal,0.2,LOW
109.5,0.97,0,normal,0.3,LOW
128.37,0.99,0,normal,0.1,LOW
126.63,1.03,0,normal,0.3,LOW
115.32,3.78,1,warning_fall,29.8,LOW
145.22,0.98,0,normal,0.2,LOW
708.82,1.01,1,warning_gas,28.4,LOW
140.45,1.07,0,normal,0.7,LOW
130.19,1.05,0,normal,0.5,LOW
149.31,1.01,0,normal,0.1,LOW
177.34,1.0,0,normal,1.29,LOW
162.32,1.0,0,normal,0.58,LOW
143.82,1.01,0,normal,0.1,LOW
150.72,4.09,1,warning_fall,32.93,MEDIUM
132.28,2.55,1,warning_fall,17.5,LOW
134.54,1.01,0,normal,0.1,LOW
141.2,1.0,0,normal,0.0,LOW
140.79,1.01,0,normal,0.1,LOW
145.73,1.04,0,normal,0.4,LOW
157.71,1.02,0,normal,0.56,LOW
921.58,3.21,11,critical,78.41,CRITICAL
432.2,1.01,6,warning_gas,25.38,LOW
641.67,0.99,8,warning_gas,39.24,MEDIUM
129.51,1.02,0,normal,0.2,LOW
148.22,1.0,0,normal,0.0,LOW
134.44,0.99,0,normal,0.1,LOW
149.58,1.02,0,normal,0.2,LOW
154.87,0.99,0,normal,0.33,LOW
630.74,4.41,5,critical,66.72,MEDIUM
155.94,0.98,0,normal,0.48,LOW
161.74,0.99,0,normal,0.65,LOW
840.04,0.99,8,warning_gas,48.57,MEDIUM
156.48,0.97,0,normal,0.6,LOW
146.8,1.01,0,normal,0.1,LOW
139.15,3.39,5,warning_fall,33.9,MEDIUM
117.85,0.97,0,normal,0.3,LOW
144.5,1.02,0,normal,0.2,LOW
174.76,1.01,0,normal,1.27,LOW
139.78,0.94,0,normal,0.6,LOW
151.94,1.02,0,normal,0.29,LOW
121.75,1.0,0,normal,0.0,LOW
797.14,1.04,6,warning_gas,42.85,MEDIUM
738.79,1.01,4,warning_gas,35.81,MEDIUM
646.74,0.99,7,warning_gas,37.48,MEDIUM
147.15,0.97,0,normal,0.3,LOW
142.31,0.98,0,normal,0.2,LOW
134.19,1.0,0,normal,0.0,LOW
123.44,1.05,0,normal,0.5,LOW
166.54,1.05,0,normal,1.28,LOW
143.31,0.97,0,normal,0.3,LOW
772.06,0.99,7,warning_gas,43.37,MEDIUM
180.08,0.97,0,normal,1.72,LOW
827.05,1.01,1,warning_gas,33.96,MEDIUM
164.69,3.78,3,warning_fall,34.49,MEDIUM
155.86,1.04,0,normal,0.68,LOW
161.77,1.03,0,normal,0.85,LOW
167.39,0.99,0,normal,0.92,LOW
142.97,1.04,0,normal,0.4,LOW
755.2,0.98,4,warning_gas,36.68,MEDIUM
156.28,1.0,0,normal,0.3,LOW
138.67,0.98,0,normal,0.2,LOW
133.64,1.0,0,normal,0.0,LOW
140.32,1.03,0,normal,0.3,LOW
149.52,1.01,0,normal,0.1,LOW
809.03,3.09,10,critical,71.91,CRITICAL
141.07,1.02,0,normal,0.2,LOW
156.03,0.96,0,normal,0.68,LOW
152.19,0.97,0,normal,0.4,LOW
134.52,1.0,0,normal,0.0,LOW
162.51,1.08,0,normal,1.39,LOW
138.8,1.03,0,normal,0.3,LOW
915.56,1.03,5,warning_gas,46.33,MEDIUM
743.56,1.0,7,warning_gas,41.93,MEDIUM
561.05,1.05,4,warning_gas,27.84,LOW
164.26,1.01,0,normal,0.77,LOW
962.44,4.78,7,critical,90.03,CRITICAL
130.45,1.01,0,normal,0.1,LOW
991.59,3.18,4,critical,69.4,MEDIUM
135.6,0.98,0,normal,0.2,LOW
146.39,2.57,4,warning_fall,23.7,LOW
159.48,1.01,0,normal,0.55,LOW
165.58,2.53,5,warning_fall,26.03,LOW
133.68,0.98,0,normal,0.2,LOW
129.74,1.0,0,normal,0.0,LOW
149.0,0.98,0,normal,0.2,LOW
156.87,0.98,0,normal,0.52,LOW
